unitid,institution name,year,institution name,HD2013.Institution's internet website address,HD2013.Highest degree offered,Longitude,Latitude,IC2013_AY.Published in-state tuition 2013-14,"EFEST2013.Estimated enrollment, total","EFEST2013.Estimated enrollment, full time","EFEST2013.Estimated enrollment, part time",Image,Description
190512,CUNY Bernard M Baruch College,2013,CUNY Bernard M Baruch College,http://www.baruch.cuny.edu,Master's degree,-73.983417,40.740238,5730,17462,11344,6118,http://static.www.schoolsondemand.com/28700-default-1-0.gif,"<a href=""http://www.baruch.cuny.edu""><img src=""http://static.www.schoolsondemand.com/28700-default-1-0.gif"" alt = ""CUNY Bernard M Baruch College""/></a>"
190521,CUNY Borough of Manhattan Community College,2013,CUNY Borough of Manhattan Community College,http://www.bmcc.cuny.edu/,Associate's degree,-74.011826,40.71879,4200,24055,15991,8064,https://www.naspa.org/images/uploads/main/borough-of-manhattan-community-college.gif,"<a href=""http://www.bmcc.cuny.edu/""><img src=""https://www.naspa.org/images/uploads/main/borough-of-manhattan-community-college.gif"" alt = ""CUNY Borough of Manhattan Community College""/></a>"
190530,CUNY Bronx Community College,2013,CUNY Bronx Community College,http://www.bcc.cuny.edu,Associate's degree,-73.909742,40.857185,4200,11513,6625,4888,http://www.collegetransfer.net/logo/190530_422008104944AM_logo.jpg,"<a href=""http://www.bcc.cuny.edu""><img src=""http://www.collegetransfer.net/logo/190530_422008104944AM_logo.jpg"" alt = ""CUNY Bronx Community College""/></a>"
190549,CUNY Brooklyn College,2013,CUNY Brooklyn College,http://www.brooklyn.cuny.edu,Master's degree,-73.95312,40.631912,5730,16452,9759,6693,http://www.ncmark.com/files/creative/brkl_logo_cunysub-3.jpg,"<a href=""http://www.brooklyn.cuny.edu""><img src=""http://www.ncmark.com/files/creative/brkl_logo_cunysub-3.jpg"" alt = ""CUNY Brooklyn College""/></a>"
190558,College of Staten Island CUNY,2013,College of Staten Island CUNY,http://www.csi.cuny.edu,Master's degree,-74.148701,40.603949,5730,14400,9879,4521,http://www.csi.cuny.edu/images/CSI-header.gif,"<a href=""http://www.csi.cuny.edu""><img src=""http://www.csi.cuny.edu/images/CSI-header.gif"" alt = ""College of Staten Island CUNY""/></a>"
190567,CUNY City College,2013,CUNY City College,http://www.ccny.cuny.edu,Doctor's degree - research/scholarship,-73.95055,40.819794,5730,15454,9784,5670,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcS3X9a_oe7HH7OufD4ijNL-8MXWiLgBhxqwxEHrFEwPCrs33qSJ,"<a href=""http://www.ccny.cuny.edu""><img src=""https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcS3X9a_oe7HH7OufD4ijNL-8MXWiLgBhxqwxEHrFEwPCrs33qSJ"" alt = ""CUNY City College""/></a>"
190585,CUNY Hostos Community College,2013,CUNY Hostos Community College,http://www.hostos.cuny.edu,Associate's degree,-73.927363,40.817601,4200,7052,4147,2905,http://www.campusexplorer.com/media/560x420/CUNY-Hostos-Community-College-7343EC18.jpg,"<a href=""http://www.hostos.cuny.edu""><img src=""http://www.campusexplorer.com/media/560x420/CUNY-Hostos-Community-College-7343EC18.jpg"" alt = ""CUNY Hostos Community College""/></a>"
190594,CUNY Hunter College,2013,CUNY Hunter College,http://www.hunter.cuny.edu,Doctor's degree - research/scholarship and professional practice,-73.964795,40.768669,5730,22840,13142,9698,http://i.forbesimg.com/media/lists/colleges/cuny-hunter-college_200x200.jpg,"<a href=""http://www.hunter.cuny.edu""><img src=""http://i.forbesimg.com/media/lists/colleges/cuny-hunter-college_200x200.jpg"" alt = ""CUNY Hunter College""/></a>"
190600,CUNY John Jay College of Criminal Justice,2013,CUNY John Jay College of Criminal Justice,http://www.jjay.cuny.edu,Master's degree,-73.988381,40.770675,5730,15229,10914,4315,http://www.jjay.cuny.edu/sites/all/themes/johnjaytpl/images/logo.png,"<a href=""http://www.jjay.cuny.edu""><img src=""http://www.jjay.cuny.edu/sites/all/themes/johnjaytpl/images/logo.png"" alt = ""CUNY John Jay College of Criminal Justice""/></a>"
190619,CUNY Kingsborough Community College,2013,CUNY Kingsborough Community College,http://www.kbcc.cuny.edu,Associate's degree,-73.934779,40.576446,4200,19145,10219,8926,http://www.kbcc.cuny.edu/_layouts/images/kcc/logo.png,"<a href=""http://www.kbcc.cuny.edu""><img src=""http://www.kbcc.cuny.edu/_layouts/images/kcc/logo.png"" alt = ""CUNY Kingsborough Community College""/></a>"
190628,CUNY LaGuardia Community College,2013,CUNY LaGuardia Community College,http://www.lagcc.cuny.edu,Associate's degree,-73.935057,40.7445,4200,20105,10627,9478,https://uniteus.s3.amazonaws.com/uploads/entities/group/avatar/4937/48a0a377-ca2e-4eed-b9cc-a370ffa57926.gif,"<a href=""http://www.lagcc.cuny.edu""><img src=""https://uniteus.s3.amazonaws.com/uploads/entities/group/avatar/4937/48a0a377-ca2e-4eed-b9cc-a370ffa57926.gif"" alt = ""CUNY LaGuardia Community College""/></a>"
190637,CUNY Lehman College,2013,CUNY Lehman College,http://www.lehman.cuny.edu,Master's degree,-73.894627,40.873928,5730,11767,5840,5927,http://sites2.theginsystem.com/gklehman/uploaded_media/slideshow_pic8188182_178391185541348_1930252_n.jpg,"<a href=""http://www.lehman.cuny.edu""><img src=""http://sites2.theginsystem.com/gklehman/uploaded_media/slideshow_pic8188182_178391185541348_1930252_n.jpg"" alt = ""CUNY Lehman College""/></a>"
190646,CUNY Medgar Evers College,2013,CUNY Medgar Evers College,http://www.mec.cuny.edu,Bachelor's degree,-73.957076,40.666256,5730,6837,4331,2506,http://www.cuny.edu/about/invest-in-cuny/news-redirect/ev/college-profiles/mec/meclogo.jpg,"<a href=""http://www.mec.cuny.edu""><img src=""http://www.cuny.edu/about/invest-in-cuny/news-redirect/ev/college-profiles/mec/meclogo.jpg"" alt = ""CUNY Medgar Evers College""/></a>"
190655,CUNY New York City College of Technology,2013,CUNY New York City College of Technology,http://www.citytech.cuny.edu,Bachelor's degree,-73.987856,40.695483,5730,16967,10324,6643,https://www.bottomline.org/uploadimages/1/citytech-logo.png,"<a href=""http://www.citytech.cuny.edu""><img src=""https://www.bottomline.org/uploadimages/1/citytech-logo.png"" alt = ""CUNY New York City College of Technology""/></a>"
190664,CUNY Queens College,2013,CUNY Queens College,http://www.qc.cuny.edu,Master's degree,-73.815387,40.737771,5730,18849,11181,7668,http://images.forbes.com/media/lists/94/2010/logos/cuny-queens-college.jpg,"<a href=""http://www.qc.cuny.edu""><img src=""http://images.forbes.com/media/lists/94/2010/logos/cuny-queens-college.jpg"" alt = ""CUNY Queens College""/></a>"
190673,CUNY Queensborough Community College,2013,CUNY Queensborough Community College,http://www.qcc.cuny.edu,Associate's degree,-73.754548,40.754858,4200,16045,9629,6416,http://www.witseducation.com/graphics/schools/NY-queensborocc.jpg,"<a href=""http://www.qcc.cuny.edu""><img src=""http://www.witseducation.com/graphics/schools/NY-queensborocc.jpg"" alt = ""CUNY Queensborough Community College""/></a>"
190691,CUNY York College,2013,CUNY York College,http://www.york.cuny.edu,Master's degree,-73.794586,40.702661,5730,8285,5188,3097,http://pranis.ws.gc.cuny.edu/files/2012/08/yorklogo.gif,"<a href=""http://www.york.cuny.edu""><img src=""http://pranis.ws.gc.cuny.edu/files/2012/08/yorklogo.gif"" alt = ""CUNY York College""/></a>"
475565,Stella and Charles Guttman Community College,2013,Stella and Charles Guttman Community College,http://www.ncc.cuny.edu/index.html,Associate's degree,-73.984121,40.7528,4200,494,485,9,http://www.cuny.edu/about/invest-in-cuny/college-contacts/Guttman_LOGO.gif,"<a href=""http://www.ncc.cuny.edu/index.html""><img src=""http://www.cuny.edu/about/invest-in-cuny/college-contacts/Guttman_LOGO.gif"" alt = ""Stella and Charles Guttman Community College""/></a>"
