Subway,Subway lat,Subway Lng,School,School Lat,School Lng,Distance,Time
W 4th St - Washington Sq (Lower),40.732254830000002,-74.000308149999995,CUNY Medgar Evers College,40.666255999999997,-73.957076000000001,9403,7180
W 4th St - Washington Sq (Lower),40.732254830000002,-74.000308149999995,CUNY Lehman College,40.873927999999999,-73.894627,18755,14039
W 4th St - Washington Sq (Lower),40.732254830000002,-74.000308149999995,CUNY Queensborough Community College,40.754857999999999,-73.754548,23622,17359
W 4th St - Washington Sq (Lower),40.732254830000002,-74.000308149999995,CUNY John Jay College of Criminal Justice,40.770674999999997,-73.988381000000004,5014,3744
W 4th St - Washington Sq (Lower),40.732254830000002,-74.000308149999995,CUNY York College,40.702660999999999,-73.794585999999995,19241,14441
W 4th St - Washington Sq (Lower),40.732254830000002,-74.000308149999995,CUNY Kingsborough Community College,40.576446000000004,-73.934779000000006,20077,15052
W 4th St - Washington Sq (Lower),40.732254830000002,-74.000308149999995,CUNY Hunter College,40.768669000000003,-73.964794999999995,5645,4247
W 4th St - Washington Sq (Lower),40.732254830000002,-74.000308149999995,CUNY Brooklyn College,40.631912,-73.953119999999998,12739,9614
W 4th St - Washington Sq (Lower),40.732254830000002,-74.000308149999995,CUNY Bronx Community College,40.857185000000001,-73.909742000000008,16372,12278
W 4th St - Washington Sq (Lower),40.732254830000002,-74.000308149999995,CUNY Borough of Manhattan Community College,40.718790000000006,-74.011825999999999,2171,1626
W 4th St - Washington Sq (Lower),40.732254830000002,-74.000308149999995,CUNY Queens College,40.737771000000002,-73.815387000000001,18867,14202
W 4th St - Washington Sq (Lower),40.732254830000002,-74.000308149999995,CUNY Hostos Community College,40.817601000000003,-73.927363,11987,8917
W 4th St - Washington Sq (Lower),40.732254830000002,-74.000308149999995,College of Staten Island CUNY,40.603949,-74.148701000000003,21646,11209
W 4th St - Washington Sq (Lower),40.732254830000002,-74.000308149999995,CUNY LaGuardia Community College,40.744500000000002,-73.935057,7220,5082
